time,pressure,temp,humidity,rain,wind1,wind2
2024-04-23 00:00:00,1006.79004,299.33,19.653,0.0,-2.74,0.65
2024-04-23 03:00:00,1008.13,301.03,19.414,0.5,-2.8,0.32
2024-04-23 06:00:00,1006.4,302.22998,19.618,1.3000001,-2.77,-1.5999999
2024-04-23 09:00:00,1004.04,300.19,17.397999,1.8000001,-3.23,-4.15
2024-04-23 12:00:00,1005.53,298.34,16.515,2.8,-1.22,-2.76
2024-04-23 15:00:00,1007.93,298.22998,17.034,4.3,-0.32,0.32
2024-04-23 18:00:00,1006.70996,297.37,17.371,6.0,1.12,0.11
2024-04-23 21:00:00,1005.76,297.03,17.205,6.8,-0.01,-0.72999996
2024-04-24 00:00:00,1007.44995,297.28998,17.29,8.0,-0.37,-1.14
2024-04-24 03:00:00,1008.26,300.06,18.119999,8.900001,0.31,0.26
2024-04-24 06:00:00,1004.20996,305.75,17.41,9.1,-1.77,4.0699997
2024-04-24 09:00:00,1002.56,303.8,18.884,10.6,-2.18,4.7999997
2024-04-24 12:00:00,1004.67,298.83,18.783,11.0,-2.1499999,2.36
2024-04-24 15:00:00,1006.02,296.31,15.785,12.6,0.19,1.93
2024-04-24 18:00:00,1005.87,295.76,15.301,12.8,0.9,-2.28
2024-04-24 21:00:00,1004.88,296.37,16.061,13.0,0.08,-1.0
2024-04-25 00:00:00,1005.64,296.37,16.484,16.6,-1.77,2.31
2024-04-25 03:00:00,1005.54,302.08,18.657,16.6,0.34,3.29
2024-04-25 06:00:00,1002.1,307.56,18.433,16.6,-0.26999998,4.25
2024-04-25 09:00:00,1000.55,305.8,19.473999,16.6,-4.2799997,6.47
2024-04-25 12:00:00,1001.65,299.46,17.997,17.9,-1.0799999,5.5
2024-04-25 15:00:00,1002.58,298.63,16.049,17.9,-1.27,4.81
2024-04-25 18:00:00,1001.52,297.37,17.22,17.9,-2.2,2.3
2024-04-25 21:00:00,1001.0,297.78,18.485,17.9,-2.71,0.77
2024-04-26 00:00:00,1002.9,299.34,19.431,17.9,-1.65,0.96999997
2024-04-26 03:00:00,1002.77,303.5,18.895,17.9,-0.65,1.09
2024-04-26 06:00:00,999.33,309.38,17.977,17.9,1.63,1.02
2024-04-26 09:00:00,995.87,308.8,17.882,17.9,-3.08,3.36
2024-04-26 12:00:00,998.67,301.4,19.198,17.9,-1.3,3.32
